Review,Rating
"1.Возможно, кому-то покажется скользким, но это сугубо индивидуально.
2.Ношу без чехла и купленного бампера - только пленка, все отлично.",5
"Аппарат хороший, необычный, качественный. Очень доволен",5
Смарт в активной работе 2 недели.,5
"Ко всем новшествам привыкаешь моментально, в руку входит как влитой.",5
"Стабильность работы,функциональность,камера,отличная автономность.Желания приобретать G3/G4/G5 нет.",5
"Покупал жене. Жена довольна. Особенно удобством ОС, качеством фотографии.",5
"телефон крутой, но я бы добавил функциональности самсунга , завернутую в классный, стильный дизаййн айфона",5
"Советую всем, стоит своих денег, покупай не пожалеешь.",5
"в целом, приятный, но не сказать, что восторг",4
В сравнении с андроид телефонами звук никакой. Любителям качественной музыки однозначно не подойдет.,1
"Отличный, как и все айфоны, но цены очень высока.",5
"В целом этот телефон практически идеален, после андройда это очень круто!",4
"Хороший телефон, не лучше и не хуже конкурентов на андроид, но несколько переоцененный... Цена явно опережает возможности железа.",4
"В целом телефон приятный. Сильных изменений с 5-м не заметил. Приятно, что экран вырос, но в руке стал сидеть уже не удобно.",5
"Больше не когда не куплю продукцию apple, сильно разочарован в блатном телефоне теперь я понял что это всего лишь игрушка.",1
"не рекомендую, берите самсунг!",3
"От этого телефона одни отрицательные эмоции, я не советую никому.",1
Не советую брать эту модель.,2
Айфон уже не тот.,3
Купила дочки ей очень понравилось,5
Я его купил за 23 000 рублей за такие деньги думаю сойдёт. Ну и разрешение небольшое. Но так телефон думаю на 4,4
копию можно купить у меня в профиле вк,5
покупать не советую!Рассматривайте 6s или 7 ! Покупал жене на день рождения 6s - работает без нареканий .,2
"Если Вам достаточно 64 Gb, то лучше посмотреть в сторону 5S. По быстродействию практически не отличаются.",4
Качественный телефон но от предыдущей версий особо ни чем не отличается,4
До него был в постоянном пользовании лишь android. Кабеля подходят фирмы cbr за 200 р. Для приложений использую tongbu,5
"Классная модель, были бы финансы купил бы не задумываясь ещё раз (просто в какой-то момент разбил в ванной))))",5
"При покупке рекомендую наклеить защитное стекло или плёнку, ну и чехол желательно кожаный т.к. в руке приятно лежит.",4
Продал и купил 5t. Доволен полностью новым девайсом!,3
"Вобщем смартфоном доволен 
За такую цену лучше не найти)",5
"Телефон очень качественный, продуманный и ""готовый"" продукт. Для тех кто любит когда телефон - классика, но умеет все современное - достойный выбор",5
Рекомендую,5
"Читайте все выше описанное.
Смартфон рекомендуется
к покупке.
Ни разу не пожалеете.
Камера вообще Космос;)
Самый сбалансированный смартфон.",5
"Один из самых доступных и технологичных ""подфлагманов"" на конец 2014. Почти никаких проблем с ним не испытывал.",5
"Полностью оправдал ожидания, потраченных денег не пожалел!",5
"Я очень осталась довольна покупкой нового LG G3 s LTE   , начиная от внешнего вида телефона, заканчивая его техническими характеристиками.",5
Берите. Я взял за 18170 в интернет-магазине и не жалею!,5
"Стоял выбор между ним и другими флагманами. Не прогадал. Батарейка, камера, звук, кнопки на задней панели и экран радуют каждый день.",5
"Цена качество, на столько ровного показателя соотношения давненько не видел))))",5
"лучшее предложение на мой взгляд из андроидных аппаратов. Кто бы мог подумать, что LG так отличится...",5
Не устанавливайте Российскую версию нового Андроида. Лучше поставьте версию европейскую. На 4PDA все написано. Жена все равно довольная.,4
Всё написал выше),5
Очень доволен,5
"Брал на замену старому самсу, очень доволен, сразу видно небо и земля. За свои деньги это лучшее, что можно найти на рынке",5
"Очень хороший ,бюджетный смартфон от компании Appel",5
"Телефон больше модный,мажорный чем прогрессивный.Качество сборки на уровне дешевых аппаратов.",3
"Я для себя понял, что не стоит брать продукцию Apple. Купил эту ошибку природы за 54990 рублей, лучше бы купил Yota Phone.",3
Он реально лучший:),5
"Пользуюсь почти год , не каких проблем не возникло , шикарный экран , отличная мощность и адекватная цена .",5
"Смартфон достойный. Отличный вариант для тех, кто ценит комфорт за приемлемую цену. Завтра идем покупать жене)",5
не жалею что взял именно эту модель,4
Месяц использования - до сих пор лучшее мое приобретеение. Спасибо LG.,5
"Телефоном доволен полностью, нашел для себя идеальный смартфон☺",5
Эйфория от покупки стоит того.,5
"Это лучший андроид-смартфон, который мне приходилось использовать.",5
"Я очень доволен телефоном и рекомендую его. Брал вместе с другом за 20 тыс. каждый. Не Росттест, не Евротест, а ЕАС.",4
"Телефончик отличный, советую брать в белом цвете.",5
Смартфон - умный телефон.  LG G2 - умнейший смартфон.  Покупайте не пожалеете!,5
"за год завис 2 раза, лечился перезагрузкой. А так отличный аппарат",5
В целом аппарат не плохой ну так как я выбирал аппарат по критериям Звука и камеры то огорчился в нем(,3
"Вполне хорошая модель за свои деньги. Для рядового использования пойдет.
Для энергоемких приложений - не очень.",4
В целом телефоном доволен,4
"Определённо лучший на рынке! Некоторые пишут, что аппарат скользкий, но если приодеть на него чехольчик,  то все будет нормуль)",5
"В принципе аппарат близок к идеалу, но все портят лаги!",4
"За свои деньги аппарат отличный. Не всегда получается тапнуть 2 раза чтоб разлочить экран, тыкаю по несколько раз, но это не страшно)",5
Рекомендую.,5
"Купил после Nexus 5,не жалею ни капли. Первый мой гаджет который нет желания рутовать.  Все работает плавно быстро. Берите не пожалеете",5
"""Желтые пятна"" перечеркивают все достоинства телефона.",2
Очень довольна!!,5
"Уже хожу с этим телефоном несколько месяцев, и все равно он мне очень нравится. Работает почти без глюков столько времени!",5
"За свои деньги отличный телефон,не потерявший своей актуальности.",5
"Если бы не аккумулятор, то я бы считал данный телефон идеалом. При учете покупки за 290 долларов.",4
"Пользуюсь два года, после падения, не тупит, и панель у меня не когда не скрипела, все нормально",5
"крутой телефон,все плюсы ,которые здесь называются -это абсолютная правда",5
"В данном телефоне достоинств в несколько раз больше, чем недостатков, поэтому однозначно рекомендую к приобретению.",5
"Модель получилась вполне успешной, несмотря на желтые пятна, но в официальном сервисном центре без проблем меняют экран по гарантии.",4
"Жаль, уронил и разбил экран.(замена дорогая и ставят не оригинальные дисплеи) Думаю еще раз купить такой же.",4
так держать LG ! и кто думает брать-не брать   ...однозначно - БЕРИТЕ ! Не пожалеете!,5
Планшет и комп не у дел остались,5
Суппер аппарат дизайн нормальный. Все работает быстро и плавно. Lg молодцы утерли нос samsung,5
"Написано Корея, у меня китайцы не ломались ни разу, придётся нести в сервис.",4
По-настоящему стоящее устройство!,5
"... Короче, всем советую телефон!  Пользуюсь почти пол года, всё супер!",5
"Апарат отличный,пользуюсь месяц.До этого был L9 тоже не плохой,ну G2 превзашёл все ожидание!!!",5
"Лучший телефон, что я видел. Не буду называть конкретные модели, но LG G2 превосходит многие телефоны, причем даже более дорогостоящие",5
"За 25000 тысяч он идеален, самый лучший смартфон 2013 года!!!",5
Я под впечатлением от покупки. Свой прежний телефон в руки брать не хочется.,5
"После месяца использования не появилось ни малейшего желания на что-нибудь поменять. Все, что пишут про сбалансированность модели – абсолютная правда",5
ооочень долго выбирал телефон до 11т.р. Была нокия 808. Но стало надо интернет банк и плюс планшет сломался.,5
"Просто отличный телефон, когда он оказался у меня в руках к остальным больше не тянуло)))",5
Уступает только Xperia Z1.,5
Лучше всё-равно пока ничего нету за эту цену,5
"Поразила скорость работы и автономность аппарата.
Телефон еще долго будет актуален.",5
"Айфоны не навижу из за тупой закрытой оси,хотя их дизайн бомба,ну и просто америка)))ну и винда такая же вроде...а здесь весь раздор на 4пда и хда)",5
Купил это чудо на старте продаж (корея) доволен как стадо слонов! Кстати работает с простыми флешками юзби это просто супер. LG МОЛОДЦИ !!!!!,5
Покупкой в целом довольна и цена адекватна на модель. Советую покупать без раздумий!,4
"Хотел купить чехол — нет пока в продаже, говорят.",5
"Телефоном доволен.
Остается приобрести специальный чехол LG QuickWindow",5
"Имею iPhone 5S еще кроме этого....ЯБЛОКО безнадежно отстало и курит, курит, курит.....",5
"Флагман на то и флагман. Лучший аппарат из всех, что у меня был.",5
"Аппарат довольно хорошего качество, несчитая камеру",4
"В целом телефон замечательный, очень нравится, вот если бы и связь наладить...",4
"Четкий телефон, для четких людей.",5
"хорошее тело, достоинств больше чем недостатков, но я взял бы galaxy s5, если бы в нём было радио",4
"Доволен как удав, это лучшее из того что можно купить за разумные деньги, цена качество выще всяких похвал.",5
Покупка меня не разочаровала!!!,5
Покупать не советую. Разочарование будет от покупки буквально в течении 2-5 дней.,1
Музыка в наушниках просто атас! Ощущения не передаваемые! Вызывает мондраж!) Лучший смартфон на сегодняшний день!!!,5
"Аппарат довольно хорошего качество, несчитая камеру",4
Если не проблема с сетью то идиальный аппарат,5
"Владею 1.5 года, доволен как слон .купил бу с рук за 12к. Всем советую.",5
"Все радует,даже спустя два года после покупки",5
"Сравниваю телефон с айфоном. Функций на много больше .  С рут правами,становишься богом телефона.  Google play market можно обмануть спокойно",5
купил на смену изрядно доставшему Samsung Galaxy S2. впечатления от эксплуатации только положительные.,5
"Смартфон отличный! Единственное экран слабенький, легко разбить. Доволен 5",5
"Пользуюсь уже 1,5 года. Телефон идеально сбалансирован, и оптимизирован. Никогда не подводил. Жду андроид 5 ))",5
"телефон оправдывает свою цену,но требует аккуратного использования-
лучше сразу купить чехол и плёнку,",5
являюсь владельцем уже больше года - единственный минус - акб,5
"Был у меня промежуточный китаец Jiayu G2 - прием, связь, громкость - то что надо для телефона и всего за 4 т. НО LG ведь флагман.",3
"Старичку уже больше трёх лет. треснул экран, сижу, плАчу и строчу отзыв. буду ремонтировать, нет ему замены)))",5
"Очень рекомендую тем, кто собирается приобрести новый телефон.Телефон из такой ценовой категории никому не уступает по характеристикам.",5
Ну если вы фанат LG то телефон интересен.если смотрите по цене то советую обратить внимание на другого производителя.ИТОГО ЧЕТКИЕ 3 балла,3
"За такую цену, неплохой аппарат, но лучше обратить внимание на другую модель.",2
"В целом очень довольна покупкой, на данный момент прослужил ровно два года и надеюсь еще столько же прослужит.",5
"Я не играю на телефоне, только камера, браузер, пара приложений, а оказалось быстродействие все равно страдает(((",4
Отличная рабочая коняшка для большинства повседневных задач за приемлемую цену.,4
"смотрится стильно , я его берегу что бы не поцарапался",4
Не для игр этот телефон.,3
"В целом телефоном доволен
Идеальное соотношение цена-качество
Так же купил фирменный чехол с окошечком, нравится))",5
Ставлю 4 балла из за плохой оптимизации телефона на такие характеристики. Т.е тормоза.,4
я его берегу что бы не поцарапался,1
На троечку.,3
В целом телефоном довольна. Покупался в большей степени из-за дизайна и 4g. Для девушки хороший вариан.,4
Покупкой довольна.Хорошее соотношение цены и качества.,5
LG телефон больше не куплю,2
"И кстати в х видео ну вы поняли 
ПАЛЁНЫЕ экраны плоха работают но покрайней мере у меня пришлось менять экран",4
Одни положительные эмоции... рекомендую к покупке...,5
Очень достойный аппарат. Доволен. Наиболее близкий конкурент- старенький s7. Но по мне huawei лучше в своем ценовом диапазоне. В игры не играю.,5
"У меня больших требований к телефону нет. Лишь бы день продержался да фотографировал более-менее.
Но с такой бы батареей точно бы не купил.",3
Продал и купил 5t. Доволен полностью новым девайсом!,3
Читайте все выше описанное.Смартфон рекомендуетсяк покупке.Ни разу не пожалеете.Камера вообще Космос;)Самый сбалансированный смартфон.,5
"Неплохой в целом аппарат, но если бы не подарочный сертификат в мвидео, взял бы безрамочные аналоги с камерами получше.",4
"За свою цену , лучший аппарат на рынке.
Pipmaster007@gmail.com",5
"Ну как будто держишь в руке обновленную семерку, а когда включаешь понимаешь что точно не флагман рынка смартфонов, цена завышена.",4
"Вообщем, берем iPhone 5s gold 64gb LTE, и радуемся жизни, и играть удобно, и выглядит солидно  мне кажется надо было написать отзыв про 5s",3
"всем рекомендую ,если не жалко Бобла ,своих денег стоит на все сто!",5
"Короче неплохой телефон, рекомендую",4
"За 3 года, один раз поменял акб",4
В целом покупкой очень доволен!,5
"Перешел на 6 с 4 и разочаровался, камера стала хуже,не смотря на большее разрешение, батареи хватает на день.",3
"Скоро уже год будет, как купил этот телефон и ни разу не пожалел о своем выборе.",5
пользуюсь с удовольствием),5
"Я напишу только минусы, которые на первый взгляд не очевидны. А о плюсах вы сможете прочитать в других отзывах",5
буду меня на другой.,3
"Отличный телефон! Не жалею о покупке! Следом купили и мужу. Жалеем только, что раньше не начали пользоваться iPhone.",5
"очень довольна покупкой, ни разу не пожалела о своём выборе!",5
"Рекомендую, старое доброе яблоко, нареканий нет. Разница в стоимости с 6С на момент покупки была абсолютно не адекватна.",5
"Сегодня понесу обратно в магазин, буду требовать обмена на новый аппарат. По результатам обновлю данный отзыв.",2
"Хороший аппарат, но своих денег, безусловно, не стоит.",5
Не брать. Пусть делают доступней цену! А еще лучше- купить флагман на андроиде!,3
"расплющенный 5s, не более",2
Достойный телефон. Пользоваться одно удовольствие.,5
"Пользовался 5S и 6, перехожу обратно на андроид. Прощай яблоко, ты раньше был лучше.",3
"Пользуюсь больше года, всем доволен",5
"Отличный телефон, пользуюсь правда всего 2 дня. Взял в белом цвете, т.к выбора не было больше. Не глянцевый, в руке не скользит.",5
"Купила белый. Не грязнится. Большой, в детскую лапку не поместится. Памяти хватает.",5
"Хоть главное достоинство этого телефона камера, но его остальные части тоже хорошо продуманы",5
"Вообщем дешевый китаец, брать на свой страх и риск, попадет рабочий или не рабочий телефон, с которым связываться потом никто не будет.",1
Пока доволен им....,4
"Думаю, одно из лучших предложений на рынке, с недостатками придётся смириться. Дизайнер не талантлив.",5
"Модель хорошая. Камеры отличные, ничего не тормозит в оболочке, съемная батарея, короче не зря асус хлеб свой ест)))",5
"Шустрая машинка как для звонков, так и для интернета.
Цена нормальная.",5
асус должен заниматься компьютерами в чистом виде.,3
Так что впечатление от этого телефона осталось нехорошее...,3
"честно сказать была бы возможность поменять, купила бы еще один Samsung",3
"Никому не признаюсь, что хожу с девчачьим  телефоном.)",5
За эи деньги ООООчень понравился!!! Всем советую!!!,5
"Экран 1920х1080, красочный, изображение четкое, шустро соображает автояркость. Ни на крышке, ни на стекле, спустя почти месяц, царапин не видно.",5
"не покупайте этот телефон, если вам дороги ваши нервные клетки",2
Покупал в феврале 2016. В подарок давали пауэр банк тоже от Асус - я и не думал тогда насколько часто буду его использовать.,4
Супер телефон. 25746692,5
"Отличный телефон, лечше яем самсунги и айфоны, а за эти деньги вообще супер!",5
Цена за 2 года упала в два раза. Не видитесь на такие бренды. У меня LG 4 года и работает не смотря та то что разбился.,2
"Опыт использования больше 2,5 лет и до сих пор.",5
Отличный аппарат!,5
Норм,3
Телефон супер!,5
Пожалела о его покупке.,1
"Концепция смартфона интересная, но По часть видимо сделана через одно место. От смартфона избавился через год.",2
"Аппарат супер, у меня 2 таких, и у друзей тоже есть, все довольны.",5
"Взял на замену samsung s4 mini, привык к asus в течении 5 минут, телефоном доволен, отличное соотношении цена/качество.",5
"Телефоном пользовался ровно месяц, только привык и... потух экран. Не ронял, не топил, просто взял и потух. Вообщем сони больше не когда не куплю.",2
"нормальный телефон, купил и не жалею, делает почти все то что делают телефоны премиум класса, но чуть хуже. зато стоит в 4-5 раз дешевле",5
"использую телефон 2 года падал он, и на асфальт,и на пол,и на плитку ему всё равно",5
"В принципе, хороший. Но уже маловат и не интересен. Брала почти год назад",4
Нужно было взять Самсунг S4mini. У сони м дуал цена завышена намного.НЕ РЕКОМЕНДУЮ!,1
В соотношении цена-качество полноценного смартфона с 2-ми сим! - это лучший вариант.,5
"Решить вопрос с gps, сделать нормальный лаунчер (из инета не всякий подойдет на 2 симкарты) можно будет ставить 5.",4
"Девайс понравился, когда купил был уверен что подсунули какойто шлак, ибо приходил за другим телефоном. Но тепкрь даже рад что выбрал его.",5
"2 Гб памяти забиваются влёт приложениями. Поудалял всё. В принципе телефон хорош, после Xperia Ray не привычно конечно... основные кнопки сенсорные.",4
"Отличный тел,берите не пожалеете",5
"В целом телефон неплохой. Если нет высоких требований к качеству снимков, то стоит брать!",5
"буду искать способы по устранению вышеперечисленных недостатков, надеюсь можно решить данную проблему софтом.",5
Пользуюсь 1.5 года. Покупать не советую. Хотя совсем уж плохим его не назвал бы.,3
"Все чаще стала сталкиваться с тем, что до меня не могут дозвониться, хотя телефон включен и,судя по ранним отзывам, это далеко не единичный случай.",2
"Все чаще стала сталкиваться с тем, что до меня не могут дозвониться, хотя телефон включен и,судя по ранним отзывам, это далеко не единичный случай.",2
"Купил жене в подарок. Ей нравится, это её первый телефон на Андроид, так что непривычно.",5
"Если собираетесь использовать телефон в том числе и в качестве навигатора, то Sony Вам не подойдет. Плохая работа GPS приемника.",3
"Ужасный телефон, врагу не пожелаю...Вернул обратно после полутора недельного пользования.",1
В соотношении цена-качество полноценного смартфона с 2-ми сим! - это лучший вариант.,5
В целом телефоном доволен.,5
В целом телефоном доволен.,5
"В принципе, хороший. Но уже маловат и не интересен. Брала почти год назад",4
"Купил купил 1.4 года назад не жалуюсь очень доволен , если бы камера была хорошая цены б не было)",4
"Покупал в подарок,подробностей использованы не знаю.",5
"Девайс понравился, когда купил был уверен что подсунули какойто шлак, ибо приходил за другим телефоном. Но тепкрь даже рад что выбрал его.",5
"Частично помогла подмена внутренней и внешней памяти, но через 3 месяца что-то да начало отваливаться. 

Не рекомендую к приобретению.",2
в общем потделка попалась. жду когда поменяют. поменяю на такой же нравиться мне очень,1
"В целом телефон неплохой. Если нет высоких требований к качеству снимков, то стоит брать!",5
"Купил жене в подарок. Ей нравится, это её первый телефон на Андроид, так что непривычно.",5
